German;English;Score;SucceedSession;Succeed;TrySession
aber;but;5;FALSE;TRUE;FALSE
allein;alone;5;FALSE;TRUE;FALSE
alt;old;5;FALSE;TRUE;FALSE
altmodisch;old-fashioned;1;FALSE;FALSE;FALSE
andere;other;5;FALSE;TRUE;FALSE
anfangen;to start;-2;FALSE;FALSE;FALSE
anklopfen;to knock;0;FALSE;FALSE;FALSE
anmachen;to light;4;TRUE;FALSE;TRUE
anziehen;to put a clothe on;5;FALSE;TRUE;FALSE
April;April;-1;FALSE;FALSE;FALSE
arbeiten;to work;5;FALSE;TRUE;FALSE
arbeitlos;unemployed;3;FALSE;FALSE;FALSE
attraktiv;attractive;5;FALSE;TRUE;FALSE
auch;also;1;TRUE;FALSE;TRUE
auf Wiedersehen;goodbye;5;FALSE;TRUE;FALSE
aufgeben;to abandon;4;FALSE;FALSE;FALSE
aufhören;to stop;-2;FALSE;FALSE;TRUE
aufreissen;to tear open;-2;FALSE;FALSE;FALSE
August;August;2;TRUE;FALSE;TRUE
ausgestorben;extinct;-1;FALSE;FALSE;TRUE
ausgezeichnet;excellent;0;FALSE;FALSE;FALSE
ausmachen;to turn off;5;FALSE;TRUE;FALSE
ausziehen;to take a clothe off;4;FALSE;FALSE;FALSE
beginnen;to begin;5;FALSE;TRUE;FALSE
Bekannte;the friends;-3;FALSE;FALSE;TRUE
besetzen;to occupy;-6;FALSE;FALSE;FALSE
besprechen;to discuss;-1;TRUE;FALSE;TRUE
bezahlen;to pay;1;FALSE;FALSE;FALSE
billig;cheap;2;FALSE;FALSE;FALSE
bis Bald;bye for now;5;FALSE;TRUE;FALSE
bis Später;see you later;5;FALSE;TRUE;FALSE
bitte;please;5;FALSE;TRUE;FALSE
bitte sehr;you're welcome;5;FALSE;TRUE;FALSE
blau;blue;5;FALSE;TRUE;FALSE
bleiben;to remain;-2;FALSE;FALSE;TRUE
brauchen;to need;2;FALSE;FALSE;FALSE
braun;brown;4;TRUE;FALSE;TRUE
bringen;to bring;1;FALSE;FALSE;FALSE
daher;therefore;-1;FALSE;FALSE;FALSE
damit;in order to;-1;FALSE;FALSE;FALSE
daneben;besides that;-1;FALSE;FALSE;TRUE
danke;thank you;5;FALSE;TRUE;FALSE
dann;then;0;FALSE;FALSE;FALSE
darauf;thereon;-2;FALSE;FALSE;TRUE
das Abkommen;the agreement;-3;FALSE;FALSE;FALSE
das Auge;the eye;2;FALSE;FALSE;FALSE
das Ausbildung;the training;-3;FALSE;FALSE;FALSE
das Bein;the leg;3;FALSE;FALSE;FALSE
das Beispiel;the example;0;FALSE;FALSE;TRUE
das Bett;the bed;2;TRUE;FALSE;TRUE
das Bier;the beer;5;FALSE;TRUE;FALSE
das Bild;the picture;2;FALSE;FALSE;FALSE
das Boot;the boat;1;FALSE;FALSE;FALSE
das Brot;the bread;5;FALSE;TRUE;FALSE
das Buch;the book;1;FALSE;FALSE;FALSE
das Café;the café;5;FALSE;TRUE;FALSE
das Camping;the camping;2;TRUE;FALSE;TRUE
das Dingsbums;the thingy;0;FALSE;FALSE;FALSE
das Einkommen;the income;-2;TRUE;FALSE;TRUE
das Eis;the ice;5;FALSE;TRUE;FALSE
das Ende;the end;1;TRUE;FALSE;TRUE
das Ereignis;the event;-2;FALSE;FALSE;TRUE
das Essen;the meal;5;FALSE;TRUE;FALSE
das Ethik;the ethique;0;FALSE;FALSE;FALSE
das Fach;the compartment;-2;FALSE;FALSE;FALSE
das Fenster;the window;-1;TRUE;FALSE;TRUE
das Fleisch;the meat;1;FALSE;FALSE;FALSE
das Flugzeug;the plane;1;FALSE;FALSE;FALSE
das Gebäck;the pastry;-3;FALSE;FALSE;FALSE
das Geheimnis;the secret;-3;FALSE;FALSE;TRUE
das Geld;the money;5;FALSE;TRUE;FALSE
das Gemüse;the vegetables;5;FALSE;TRUE;FALSE
das Geschäft;the shop;-5;FALSE;FALSE;FALSE
das Geschirr;the dishes;-5;FALSE;FALSE;TRUE
das Gesicht;the face;0;FALSE;FALSE;FALSE
das Getränk;the drink;0;FALSE;FALSE;FALSE
das Gewicht;the weight;-1;FALSE;FALSE;TRUE
das Glied;the limb;-3;FALSE;FALSE;FALSE
das Glück;the luck;1;FALSE;FALSE;FALSE
das Haar;the hair;2;FALSE;FALSE;FALSE
das Haus;the house;2;FALSE;FALSE;FALSE
das Hemd;the shirt;-2;TRUE;FALSE;TRUE
