"time";"germanWord";"englishWord";"scoreBefore";"languageAsked";"result"
"2017-08-09 20:29:04";"letzte";"last";0;"English";TRUE
"2017-08-09 20:29:07";"der Kühlschrank";"the fridge";3;"English";TRUE
"2017-08-09 20:29:11";"der Bruder";"the brother";4;"English";TRUE
"2017-08-09 20:30:17";"die Verpackung";"the packaging";-3;"English";TRUE
"2017-08-09 20:30:24";"aufreissen";"to tear open";0;"English";FALSE
"2017-08-09 20:30:34";"besprechen";"to discuss";0;"German";FALSE
"2017-08-14 23:03:15";"auch";"also";0;"English";FALSE
"2017-08-14 23:03:25";"frisch";"fresh";3;"English";FALSE
"2017-08-14 23:03:33";"der Brand";"the fire";2;"English";TRUE
"2017-08-14 23:03:47";"die Flexion";"the inflection";0;"English";FALSE
"2017-08-14 23:04:00";"die Meeresfrucht";"the sea food";2;"English";TRUE
"2017-08-14 23:04:11";"der Teil";"the part";0;"English";FALSE
"2017-08-14 23:04:14";"das Auge";"the eye";1;"English";TRUE
"2017-08-14 23:04:24";"zurzeit";"for now";4;"English";FALSE
"2017-08-14 23:04:31";"die Garantie";"the guarantee";0;"English";FALSE
"2017-08-14 23:04:40";"mitnehmen";"to take along";0;"German";FALSE
"2017-08-14 23:06:07";"fett";"fat";0;"English";FALSE
"2017-08-14 23:06:10";"die Lampe";"the lamp";4;"English";TRUE
"2017-08-14 23:06:17";"bleiben";"to remain";0;"German";FALSE
"2017-08-14 23:06:30";"der Krieg";"the war";3;"German";FALSE
"2017-08-14 23:06:33";"die Tasche";"the bag";-2;"German";TRUE
"2017-08-14 23:06:46";"die Identität";"the identity";1;"German";FALSE
"2017-08-14 23:07:25";"arbeitlos";"unemployed";4;"English";FALSE
"2017-08-14 23:07:34";"der Maler";"the painter";2;"German";FALSE
"2017-08-14 23:07:45";"das Getränk";"the drink";1;"English";FALSE
"2017-08-14 23:07:54";"der Mund";"the mouth";1;"German";FALSE
"2017-08-14 23:07:58";"ein bisschen";"a bit";0;"German";TRUE
"2017-08-14 23:09:03";"der Standort";"the location";-1;"English";FALSE
"2017-08-14 23:09:09";"waschen";"to wash";4;"German";TRUE
"2017-08-14 23:09:18";"das Fach";"the compartment";0;"German";FALSE
"2017-08-14 23:13:24";"keine Ahnung";"no idea";0;"German";FALSE
"2017-08-14 23:13:27";"brauchen";"to need";1;"English";TRUE
"2017-08-14 23:13:31";"der Saft";"the juice";-3;"German";TRUE
"2017-08-14 23:13:34";"suchen";"to search";0;"German";TRUE
"2017-08-14 23:13:55";"damit";"in order to";0;"German";FALSE
"2017-08-14 23:13:58";"das Buch";"the book";0;"English";TRUE
"2017-08-14 23:14:10";"das Abkommen";"the agreement";-2;"English";FALSE
"2017-08-14 23:14:17";"Mai";"May";1;"German";FALSE
"2017-08-14 23:14:27";"der Ecke";"the corner";0;"English";FALSE
"2017-08-14 23:14:31";"oft";"often";0;"English";TRUE
"2017-08-14 23:14:35";"richtig";"correct";4;"German";TRUE
"2017-08-14 23:14:38";"Mai";"May";0;"English";TRUE
"2017-08-14 23:14:44";"hübsch";"pretty";1;"German";TRUE
"2017-08-14 23:14:48";"sortieren";"to sort";1;"German";TRUE
"2017-08-14 23:14:51";"August";"August";0;"English";TRUE
"2017-08-14 23:14:59";"flexibel";"flexible";0;"English";TRUE
"2017-08-14 23:19:13";"finden";"to find";3;"English";TRUE
"2017-08-14 23:19:23";"schwach";"weak";-6;"German";FALSE
"2017-08-14 23:19:32";"der Standort";"the location";-2;"German";FALSE
"2017-08-14 23:19:45";"der Konflikt";"the conflict";-1;"German";FALSE
"2017-08-14 23:19:50";"die Krankheit";"the disease";-1;"English";TRUE
"2017-08-14 23:19:57";"stellen";"to put";0;"German";FALSE
"2017-08-14 23:21:50";"die Folgerung";"the consequence";-1;"English";FALSE
"2017-08-14 23:22:02";"manchmal";"sometimes";0;"German";FALSE
"2017-08-14 23:22:23";"die Sprache";"the language";1;"English";TRUE
"2017-08-14 23:22:32";"das Hemd";"the shirt";-2;"English";FALSE
"2017-08-14 23:22:44";"der Bär";"the bear";1;"German";FALSE
"2017-08-14 23:22:46";"die Nase";"the nose";0;"English";TRUE
"2017-08-14 23:22:51";"telefonieren";"to phone";3;"English";TRUE
"2017-08-14 23:22:55";"der Kollege";"the colleague";0;"German";TRUE
"2017-08-14 23:23:04";"reissen";"to tear";0;"English";FALSE
"2017-08-14 23:23:24";"der Verleih";"the rental shop";0;"German";FALSE
"2017-08-14 23:23:29";"anmachen";"to light";2;"German";TRUE
"2017-08-14 23:24:46";"aufreissen";"to tear open";-1;"English";FALSE
"2017-08-14 23:24:53";"keine Ahnung";"no idea";-1;"German";TRUE
"2017-08-14 23:25:06";"unterrichten";"to teach";2;"English";FALSE
"2017-08-14 23:26:22";"der Tee";"the tea";4;"German";TRUE
"2017-08-14 23:26:26";"schön";"nice";3;"German";TRUE
"2017-08-14 23:26:30";"das Wetter";"the weather";3;"English";TRUE
"2017-08-14 23:26:38";"der Wert";"the value";0;"German";FALSE
"2017-08-14 23:26:46";"darauf";"thereon";0;"English";FALSE
"2017-08-14 23:26:56";"die Geschwister";"the siblings";2;"German";FALSE
"2017-08-14 23:27:15";"wo";"where";4;"German";TRUE
"2017-08-14 23:27:29";"die Aufmerksamkeit";"the attention";-3;"German";FALSE
"2017-08-14 23:27:33";"fühlen";"to feel";-1;"German";TRUE
"2017-08-14 23:27:37";"unterrichten";"to teach";1;"English";TRUE
"2017-08-14 23:27:49";"der Wahnsinn";"the madness";0;"German";FALSE
"2017-08-14 23:27:59";"der Grad";"the degree";0;"English";FALSE
"2017-08-14 23:29:17";"die Verneinung";"the negation";-4;"English";FALSE
"2017-08-14 23:29:23";"bringen";"to bring";2;"German";FALSE
"2017-08-14 23:29:27";"das Organ";"the organ";4;"German";TRUE
"2017-08-14 23:29:33";"laut";"loud";-1;"German";FALSE
"2017-08-14 23:29:41";"die Packung";"the pack";0;"German";FALSE
"2017-08-14 23:29:45";"das Wort";"the word";4;"English";TRUE
"2017-08-14 23:29:48";"der Teller";"the plate";0;"German";TRUE
"2017-08-14 23:30:28";"die Mitteilung";"the information";-3;"English";FALSE
"2017-08-14 23:30:34";"die Grosseltern";"the grand-parents";2;"German";TRUE
"2017-08-14 23:30:47";"das Einkommen";"the income";-1;"English";FALSE
"2017-08-14 23:30:54";"davon";"thereof";0;"English";FALSE
"2017-08-14 23:30:57";"der Wein";"the wine";4;"English";TRUE
"2017-08-14 23:31:01";"die Generation";"the generation";2;"English";TRUE
"2017-08-14 23:31:14";"die Speisekarte";"the menu";4;"German";FALSE
"2017-08-14 23:32:23";"falls";"in case";0;"German";FALSE
"2017-08-14 23:32:37";"unpraktisch";"impractical";0;"German";FALSE
"2017-08-14 23:32:47";"der Würfel";"the dice";1;"German";FALSE
"2017-08-14 23:32:54";"spät";"late";0;"German";FALSE
"2017-08-14 23:32:58";"November";"November";0;"English";TRUE
